continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Europe,Cyprus,10/1/2021,27469,337,150,6,30657.127,376.113,568.554,167.409,6.696,2.87,0.87,36,40.178,208,232.141,23,25.423,140,155.852,1147657,8778,1280.857,9.797,11816,13.187,0.0431,23.2,tests performed,6035,6035,,,,534,0.67,0.67,,,596,534,0.06,84.26,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,367,5.69,22.39,294.9703
Europe,Cyprus,7/3/2021,37251,298,237,0,41574.452,332.587,369.098,264.507,0,0.159,1.26,14,15.625,129,143.972,9,9.948,102,113.849,2593934,46544,2894.993,51.946,41968,46.839,0.0079,126.9,tests performed,99275,70534,28741,,,2567,11.08,7.87,3.21,,2865,1880,0.21,75,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,281.80002,3.68,-13.13,226.4922
Europe,Cyprus,16/5/2021,71976,157,353,0,80329.73,175.222,276.784,393.97,0,1.913,0.62,31,34.598,157,175.222,16,17.685,106,118.271,6216094,63798,6937.551,71.203,74095,82.695,0.0033,298.8,tests performed,434550,325648,108902,,,10410,48.5,36.34,12.15,,11618,7036,0.785,66.67,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,442.00003,4.97,1.71,355.25037
Europe,Cyprus,23/5/2021,72913,91,361,1,81375.48,101.562,149.393,402.899,1.116,1.276,0.6,30,33.482,115,128.347,11,12.159,66,74.057,6619316,60508,7387.572,67.531,57603,64.289,0.0023,430.3,tests performed,522144,361142,161002,,,12513,58.27,40.31,17.97,,13965,5071,0.566,66.67,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,437.10004,4.85,-4.67,351.31207
Europe,Cyprus,30/5/2021,73440,56,368,0,81963.645,62.5,84.024,410.711,0,1.116,0.66,23,25.669,73,81.473,5,5.527,38,42.003,6967504,47156,7776.171,52.629,49741,55.514,0.0015,660.7,tests performed,595906,386710,209196,,,10537,66.51,43.16,23.35,,11760,3653,0.408,63.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,442.60004,4.85,4.76,355.73264
Europe,Cyprus,6/6/2021,73872,41,371,0,82445.784,45.759,68.877,414.059,0,0.478,0.8,13,14.509,50,55.803,1,1.105,22,24.317,7290281,46276,8136.411,51.647,46111,51.463,0.0013,747.2,tests performed,649005,403013,245992,,,7586,72.43,44.98,27.45,,8466,2329,0.26,60.33,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,451.90002,4.9,8.48,363.20734
Europe,Cyprus,25/7/2021,98499,789,408,1,109931.061,880.573,1060.738,455.354,1.116,2.392,1.02,34,37.946,276,308.033,24,26.528,220,245.384,9762954,73053,10896.069,81.532,74658,83.323,0.0127,78.6,tests performed,959464,518739,440725,,668,4239,107.08,57.89,49.19,,4731,2246,0.251,48.74,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,591,5.91,41.25,475.00668
Europe,Cyprus,10/10/2021,121271,134,573,0,135346.041,149.552,136.319,639.504,0,0.638,1.11,12,13.393,60,66.964,4,4.421,23,25.423,13771980,38802,15370.393,43.305,51589,57.577,0.002,501.6,tests performed,1182072,598723,562207,21142,,2124,131.93,66.82,62.75,2.36,2371,328,0.037,46.6,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,966.10004,8.64,13.31,776.4873
Europe,Cyprus,21/11/2021,129888,255,598,1,144963.153,284.596,384.244,667.406,1.116,0.319,1.34,18,20.089,105,117.187,7,7.737,52,58.583,15965432,43821,17818.423,48.907,56873,63.474,0.0072,139.6,tests performed,1266913,615392,579413,72108,,3279,141.4,68.68,64.67,8.05,3660,674,0.075,46.3,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,1071.7,9.04,33.44,861.3615
Europe,Cyprus,6/2/2022,268657,2568,761,1,299838.059,2866.049,3235.785,849.324,1.116,2.073,1.01,33,36.83,224,249.998,9,9.948,78,87.321,23365717,85567,26077.605,95.498,108202,120.76,0.0268,37.3,tests performed,1738322,,638052,415342,,6799,194.01,,71.21,46.35,7588,107,0.012,43.03,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,1463.5999,10.96,26.83,1169.484
